Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
99	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.998634	0.015460772	-99.938065	-100.02683	1000000	0.0	0.00023527861	-0.0026297912	-1.2270815e-05	0.4997352	0.007138373	0.0514	79.0	7782.955325603485
100	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.998695	0.015571173	-99.95076	-100.027245	1010000	-2.2888185e-09	0.00024391768	-0.0036282027	-1.2131131e-05	0.47011426	0.015859552	0.0933	57.0	7860.350111961365
101	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9983	0.016117284	-99.90654	-100.027435	1020000	-1.1301041e-08	0.00025231089	-0.005140014	-1.2937511e-05	0.4725383	0.012930736	0.0632	79.0	7938.454922199249
102	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.999535	0.014223592	-99.94826	-100.02696	1030000	-2.0408631e-08	0.00019659342	-0.0051283115	-9.666401e-06	0.48179686	0.014150359	0.1222	79.0	8016.594834804535
103	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99886	0.0135782	-99.941444	-100.02656	1040000	3.8146972e-10	0.00018516004	-0.00410197	-9.345356e-06	0.4899955	0.015060477	0.0972	31.0	8093.096730470657
104	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99969	0.0138007235	-99.94269	-100.027245	1050000	-4.9591065e-09	0.00018644924	-0.0048103216	-8.326184e-06	0.49290523	0.01342533	0.1136	79.0	8171.071335077286
105	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99891	0.01362212	-99.95229	-100.02651	1060000	-6.866455e-09	0.00018367684	-0.0026171624	-8.055431e-06	0.4780954	0.007255387	0.0705	79.0	8249.10117650032
106	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9991	0.013305563	-99.94686	-100.02628	1070000	1.6403199e-08	0.00017366665	-0.0034954124	-8.03369e-06	0.48117754	0.008377582	0.0608	79.0	8326.815816402435
107	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9993	0.01256156	-99.949814	-100.02627	1080000	-2.861023e-10	0.00015695143	-0.004919914	-7.186347e-06	0.4718061	0.015075344	0.0917	52.0	8403.860567331314
108	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00024	0.014001148	-99.92428	-100.025566	1090000	-5.340576e-09	0.0001912809	-0.004533658	-1.0193689e-05	0.43798813	0.011048779	0.0861	79.0	8481.785926818848
109	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.001785	0.011687929	-99.95141	-100.02479	1100000	-5.340576e-09	0.00013785192	-0.0052083437	-1.0205986e-05	0.42934808	0.0121479	0.0607	79.0	8560.140941619873
110	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00014	0.011945264	-99.933464	-100.02186	1110000	1.3542175e-08	0.00014197719	-0.003274094	-9.621275e-06	0.43432695	0.005073669	0.0285	79.0	8638.217981338501
111	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00014	0.0118417675	-99.9367	-100.02081	1120000	-8.9645384e-09	0.00013648478	-0.0044374373	-8.008763e-06	0.3998754	0.008280204	0.0375	79.0	8717.092783927917
